Key,File,Type,english,tchinese
resourceShatteredSoulEssence,items,Item,Shattered Soul Essence,殘破魂魄
resourceShatteredSoulEssenceDesc,items,Item,The lingering essence of departed souls after biological expiration.,生物死亡後所遺留下來的精華魂魄。
modEleArmSpellsFireLv2Schematic,items,perk  book,Burning Lv2,燃燒Lv2
modEleArmSpellsFireLv2SchematicDesc,items,perk  book,Learn how to craft a level 2 burning module.,學習製作二級的燃燒模組。
modEleArmSpellsFireLv3Schematic,items,perk  book,Burning Lv3,燃燒Lv3
modEleArmSpellsFireLv3SchematicDesc,items,perk  book,Learn how to craft a level 3 burning module.,學習製作三級的燃燒模組。
modEleArmSpellsIceLv2Schematic,items,perk  book,Freezing Lv2,冰凍Lv2
modEleArmSpellsIceLv2SchematicDesc,items,perk  book,Learn how to craft a level 2 freezing module.,學習製作二級的冰凍模組。
modEleArmSpellsIceLv3Schematic,items,perk  book,Freezing Lv3,冰凍Lv3
modEleArmSpellsIceLv3SchematicDesc,items,perk  book,Learn how to craft a level 3 freezing module.,學習製作三級的冰凍模組。
modEleArmSpellsPoisonLv2Schematic,items,perk  book,Poison Lv2,中毒Lv2
modEleArmSpellsPoisonLv2SchematicDesc,items,perk  book,Learn how to craft a level 2 poison module.,學習製作二級的中毒模組。
modEleArmSpellsPoisonLv3Schematic,items,perk  book,Poison Lv3,中毒Lv3
modEleArmSpellsPoisonLv3SchematicDesc,items,perk  book,Learn how to craft a level 3 poison module.,學習製作三級的中毒模組。
modEleArmSpellsElectricShockLv2Schematic,items,perk  book,Electric Shock Lv2,電擊Lv2
modEleArmSpellsElectricShockLv2SchematicDesc,items,perk  book,Learn how to craft a level 2 electric shock module.,學習製作二級的電擊模組。
modEleArmSpellsElectricShockLv3Schematic,items,perk  book,Electric Shock Lv3,電擊Lv3
modEleArmSpellsElectricShockLv3SchematicDesc,items,perk  book,Learn how to craft a level 3 electric shock module.,學習製作三級的電擊模組。
thrownEleArmSpellsFlameBurstBombSchematic,items,perk  book,Flame Burst Bomb Schematic,炎爆彈製作書
thrownEleArmSpellsFlameBurstBombSchematicDesc,items,perk  book,Learn how to craft a throwable flame burst.,學習製作投擲型的炎爆彈。
thrownEleArmSpellsFrostBombSchematic,items,perk  book,Frost Bomb Schematic,冰霜彈製作書
thrownEleArmSpellsFrostBombSchematicDesc,items,perk  book,Learn how to craft a throwable frost bomb.,學習製作投擲型的冰霜彈。
thrownEleArmSpellsElectricArcImpactBombSchematic,items,perk  book,Electric Arc Impact Bomb Schematic,電衝彈製作書
thrownEleArmSpellsElectricArcImpactBombSchematicDesc,items,perk  book,Learn how to craft a throwable electric arc impact bomb.,學習製作投擲型的電衝彈。
thrownEleArmSpellsPoisonGasBombSchematic,items,perk  book,Poison Gas Bomb Schematic,毒氣彈製作書
thrownEleArmSpellsPoisonGasBombSchematicDesc,items,perk  book,Learn how to craft a throwable poison gas bomb.,學習製作投擲型的毒氣彈。
thrownEleArmSpellsPurifyBombSchematic,items,perk  book,Purification Bomb Schematic,淨化彈製作書
thrownEleArmSpellsPurifyBombSchematicDesc,items,perk  book,Learn how to craft a throwable purify bomb.,學習製作投擲型的淨化彈。
thrownEleArmSpellsCursedKillBombSchematic,items,perk  book,Cursed Bomb Schematic,咒殺彈製作書
thrownEleArmSpellsCursedKillBombSchematicDesc,items,perk  book,Learn how to craft a throwable cursed kill bomb.,學習製作投擲型的咒殺彈。
thrownEleArmSpellsSkySwordBombSchematic,items,perk  book,Sky Sword Bomb Schematic,天劍彈製作書
thrownEleArmSpellsSkySwordBombSchematicDesc,items,perk  book,Learn how to craft a throwable sky sword bomb.,學習製作投擲型的天劍彈。
thrownEleArmSpellsEnhanceAttackBombSchematic,items,perk  book,Power Boost Bomb Schematic,強攻彈製作書
thrownEleArmSpellsEnhanceAttackBombSchematicDesc,items,perk  book,Learn how to craft a throwable enhance attack bomb.,學習製作投擲型的強攻彈。
thrownEleArmSpellsEnhanceDefenseBombSchematic,items,perk  book,Defense Boost Bomb Schematic,固防彈製作書
thrownEleArmSpellsEnhanceDefenseBombSchematicDesc,items,perk  book,Learn how to craft a throwable enhance defense bomb.,學習製作投擲型的固防彈。
thrownEleArmSpellsPhantomDemonBladeBombSchematic,items,perk  book,Phantom Demon Blade Schematic,幻影魔刃彈製作書
thrownEleArmSpellsPhantomDemonBladeBombSchematicDesc,items,perk  book,Learn how to craft a throwable phantom demon blade bomb.,學習製作投擲型的幻影魔刃彈。
ammoBowEleArmSpellsFlameBurstBombSchematic,items,perk  book,Flame Burst Schematic,炎爆彈製作書
ammoBowEleArmSpellsFlameBurstBombSchematicDesc,items,perk  book,Learn how to craft a bow exclusive flame burst. (Elemental Hunter Bow Exclusive),學習製作弓專用的炎爆彈。(元素獵手弓專用)
ammoBowEleArmSpellsFrostBombSchematic,items,perk  book,Frost Bomb Schematic,冰霜彈製作書
ammoBowEleArmSpellsFrostBombSchematicDesc,items,perk  book,Learn how to craft a bow exclusive frost bomb. (Elemental Hunter Bow Exclusive),學習製作弓專用的冰霜彈。(元素獵手弓專用)
ammoBowEleArmSpellsElectricArcImpactBombSchematic,items,perk  book,Electric Arc Impact Bomb Schematic,電衝彈製作書
ammoBowEleArmSpellsElectricArcImpactBombSchematicDesc,items,perk  book,Learn how to craft a bow exclusive electric arc impact bomb. (Elemental Hunter Bow Exclusive),學習製作弓專用的電衝彈。(元素獵手弓專用)
ammoBowEleArmSpellsPoisonGasBombSchematic,items,perk  book,Poison Gas Bomb Schematic,毒氣彈製作書
ammoBowEleArmSpellsPoisonGasBombSchematicDesc,items,perk  book,Learn how to craft a bow exclusive poison gas bomb. (Elemental Hunter Bow Exclusive),學習製作弓專用的毒氣彈。(元素獵手弓專用)
ammoCrossbowEleArmSpellsFlameBurstBombSchematic,items,perk  book,Flame Burst Schematic,炎爆彈製作書
ammoCrossbowEleArmSpellsFlameBurstBombSchematicDesc,items,perk  book,Learn how to craft a crossbow exclusive flame burst. (Elemental Hunter Crossbow Exclusive),學習製作十字弓專用的炎爆彈。(元素獵手十字弓專用)
ammoCrossbowEleArmSpellsFrostBombSchematic,items,perk  book,Frost Bomb Schematic,冰霜彈製作書
ammoCrossbowEleArmSpellsFrostBombSchematicDesc,items,perk  book,Learn how to craft a crossbow exclusive frost bomb. (Elemental Hunter Crossbow Exclusive),學習製作十字弓專用的冰霜彈。(元素獵手十字弓專用)
ammoCrossbowEleArmSpellsElectricArcImpactBombSchematic,items,perk  book,Electric Arc Impact Bomb Schematic,電衝彈製作書
ammoCrossbowEleArmSpellsElectricArcImpactBombSchematicDesc,items,perk  book,Learn how to craft a crossbow exclusive electric arc impact bomb. (Elemental Hunter Crossbow Exclusive),學習製作十字弓專用的電衝彈。(元素獵手十字弓專用)
ammoCrossbowEleArmSpellsPoisonGasBombSchematic,items,perk  book,Poison Gas Bomb Schematic,毒氣彈製作書
ammoCrossbowEleArmSpellsPoisonGasBombSchematicDesc,items,perk  book,Learn how to craft a crossbow exclusive toxic gas bomb. (Elemental Hunter Crossbow Exclusive),學習製作十字弓專用的毒氣彈。(元素獵手十字弓專用)

modEleArmSpellsFire,item_modifiers,mod,Burning,燃燒
modEleArmSpellsFireLv2,item_modifiers,mod,Burning Lv2,燃燒 Lv2
modEleArmSpellsFireLv3,item_modifiers,mod,Burning Lv3,燃燒 Lv3
modEleArmSpellsFireDesc,item_modifiers,mod,"Ignite the target, burning the enemy's life.",點燃目標，燃燒敵人的生命。
modEleArmSpellsIce,item_modifiers,mod,Freezing,冰凍
modEleArmSpellsIceLv2,item_modifiers,mod,Freezing Lv2,冰凍 Lv2
modEleArmSpellsIceLv3,item_modifiers,mod,Freezing Lv3,冰凍 Lv3
modEleArmSpellsIceDesc,item_modifiers,mod,"Freeze enemies, rendering them immobile.",凍結敵人，讓他們動彈不得。
modEleArmSpellsPoison,item_modifiers,mod,Poison,中毒
modEleArmSpellsPoisonLv2,item_modifiers,mod,Poison Lv2,中毒 Lv2
modEleArmSpellsPoisonLv3,item_modifiers,mod,Poison Lv3,中毒 Lv3
modEleArmSpellsPoisonDesc,item_modifiers,mod,"Release toxins, causing excruciating pain to enemies.",施放毒素，讓敵人痛苦不堪。
modEleArmSpellsElectricShock,item_modifiers,mod,Electric Shock,電擊
modEleArmSpellsElectricShockLv2,item_modifiers,mod,Electric Shock Lv2,電擊 Lv2
modEleArmSpellsElectricShockLv3,item_modifiers,mod,Electric Shock Lv3,電擊 Lv3
modEleArmSpellsElectricShockDesc,item_modifiers,mod,"Electrocute enemies, paralyzing them.",用電擊打擊敵人，令他們麻痺不堪。

gunBowElementalHunter,items,Gun,Elemental Hunter Bow,元素獵手弓
gunBowElementalHunterDesc,items,Gun,The use of arrows is limited to those provided by the Elemental Armaments mod.,只能使用元素武裝模組提供的箭矢.
gunCrossbowElementalHunter,items,Gun,Elemental Hunter Crossbow,元素獵手十字弓
gunCrossbowElementalHunterDesc,items,Gun,The use of crossbow bolts is limited to those provided by the Elemental Armaments mod.,只能使用元素武裝模組提供的十字弓箭矢.
thrownEleArmSpellsFlameBurstBomb,items,Gun,Flame Burst Bomb,炎爆彈
thrownEleArmSpellsFlameBurstBombDesc,items,Gun,"Explodes upon impact, causing continuous burning within the area of effect.",丟出去觸碰後立即產生作用，範圍內持續性燃燒。
thrownEleArmSpellsFrostBomb,items,Gun,Frost Bomb,冰霜彈
thrownEleArmSpellsFrostBombDesc,items,Gun,"Explodes upon impact, causing continuous freezing within the area of effect.",丟出去觸碰後立即產生作用，範圍內持續性冰凍。
thrownEleArmSpellsElectricArcImpactBomb,items,Gun,Electric Arc Impact Bomb,電衝彈
thrownEleArmSpellsElectricArcImpactBombDesc,items,Gun,"Explodes upon impact, delivering continuous electric shocks within the area of effect.",丟出去觸碰後立即產生作用，範圍內持續性施放電擊。
thrownEleArmSpellsPoisonGasBomb,items,Gun,Poison Gas Bomb,毒氣彈
thrownEleArmSpellsPoisonGasBombDesc,items,Gun,"Explodes upon impact, releasing continuous toxins within the area of effect.",丟出去觸碰後立即產生作用，範圍內持續性施放毒素。
thrownEleArmSpellsPurifyBomb,items,Gun,Purification Bomb,淨化彈
thrownEleArmSpellsPurifyBombDesc,items,Gun,"Explodes upon impact, providing various healing effects to players within the area and causing continuous damage to zombies.",丟出去觸碰後立即產生作用，範圍內，對玩家進行各種治療，對殭屍則是持續性傷害。
thrownEleArmSpellsCursedKillBomb,items,Gun,Cursed Bomb,咒殺彈
thrownEleArmSpellsCursedKillBombDesc,items,Gun,"Explodes upon impact, immobilizing zombies within the area and causing continuous damage.",丟出去觸碰後立即產生作用，範圍內的殭屍會被石柱壓住無法移動，並有持續性傷害。
