Key,File,Type,english,tchinese
resourceElementZombieMutatedGene,items,Item,Elemental Zombie Mutant Gene,元素殭屍的突變基因
resourceElementZombieMutatedGeneDesc,items,Item,Mutated genes can be sold or made into resistance potions.,突變基因可販賣或製作抗性藥水。
drinkIvRemoveFirePotion,items,Medical,Weird Burn Resistance Potion,異質燃燒抗性藥水
drinkIvRemoveFirePotionDesc,items,Medical,It can resist the burning attack of fire zombies within the effective time and remove the current bad status.,有效時間內可抵抗火焰殭屍的燃燒攻擊，並移除目前的不良狀態。
drinkIvRemoveShockPotion,items,Medical,Weird Electric Shock Resistance Potion,異質電擊抗性藥水
drinkIvRemoveShockPotionDesc,items,Medical,It can resist the shock attack of shock zombies within the effective time and remove the current bad status.,有效時間內可抵抗電擊殭屍的電擊攻擊，並移除目前的不良狀態。
drinkIvRemovePoisonPotion,items,Medical,Weird Poison Resistance Potion,異質劇毒抗性藥水
drinkIvRemovePoisonPotionDesc,items,Medical,It can resist the poison attack of toxic zombies within the effective time and remove the current bad status.,有效時間內可抵抗劇毒殭屍的放毒攻擊，並移除目前的不良狀態。
drinkIvRemoveFrostPotion,items,Medical,Weird Freeze Resistance Potion,異質冰凍抗性藥水
drinkIvRemoveFrostPotionDesc,items,Medical,It can resist the freezing attack of frozen zombies within the effective time and remove the current bad status.,有效時間內可抵抗冰凍殭屍的冰凍攻擊，並移除目前的不良狀態。
drinkIvRemoveDeathDeclarePotion,items,Medical,Weird Death Declare Resistance Potion,異質死亡宣告抗性藥水
drinkIvRemoveDeathDeclarePotionDesc,items,Medical,"Within the effective time, it can resist the attacks of soul-eating zombies announcing their death and remove the current bad status.",有效時間內可抵抗蝕魂殭屍的死亡宣告攻擊，並移除目前的不良狀態。
drinkIvDetectEnemiesPotion,items,Medical,Detect Enemies Potion,偵查殭屍藥水
drinkIvDetectEnemiesPotionDesc,items,Medical,It will reveal the presence of nearby existing zombies.,飲用後將標示出附近已經存在的殭屍。
drinkIvNightVisionPotion,items,Medical,Night Vision Potion,夜視藥水
