Key,File,Type,english,tchinese,spanish
amaster,progression,Attribute,The way of the master,大師之路,
aMaster,progression,Attribute,The way of the master,大師之路,
aMasterName,progression,Attribute,Master,精通,
aMasterDesc,progression,Attribute,Strengthen your desired skills with limited points.,利用有限點數強化你想要的技能。,
aMasterRankDesc,progression,Attribute,The road to the master,邁向大師之路,
aMasterRankLongDesc,progression,Attribute,"When you have finished learning a skill to the top, it will show the items you can start learning about.",當你學完某一項技能至頂後， 會顯示可以開始進行學習的項目。,
skillMasterGunsName,progression,Skill,Shooting and Throwing,投射,
skillMasterGunsDesc,progression,Skill,"For example: sniper rifles, shotguns, machine guns, explosives, etc.",例如:狙擊槍、散彈槍、機槍、炸藥等等,
skillMasterMeleeName,progression,Skill,Melee,近戰,
skillMasterMeleeDesc,progression,Skill,"For example: sticks, mallets, knives, gloves, etc.",例如:棒子、槌子、刀、拳套等等,
skillMasterAuxiliaryName,progression,Skill,Auxiliary,輔助,
skillMasterAuxiliaryDesc,progression,Skill,"For example: stamina consumption, item durability consumption, etc.",例如:耐力消耗、道具耐久消耗等等,

perkDeadEyeEntityDamageName,progression,Perk,One Shot Death: Physical Damage,一發入魂: 實體傷害,
perkDeadEyeEntityDamageDesc,progression,Perk,Increase physical damage,增加實體傷害,
perkDeadEyeEntityDamageRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Dead Eye"" skill.",限定「神槍手」技能所使用的武器。,
perkDeadEyeEntityDamageRank01Desc,progression,Perk,physical damage +20%,實體傷害 +20%,
perkDeadEyeEntityDamageRank02Desc,progression,Perk,physical damage +40%,實體傷害 +40%,
perkDeadEyeEntityDamageRank03Desc,progression,Perk,physical damage +60%,實體傷害 +60%,
perkDeadEyeEntityDamageRank04Desc,progression,Perk,physical damage +80%,實體傷害 +80%,
perkDeadEyeEntityDamageRank05Desc,progression,Perk,physical damage +100%,實體傷害 +100%,
perkDeadEyeEntityDamageRank06Desc,progression,Perk,physical damage +120%,實體傷害 +120%,
perkDeadEyeEntityDamageRank07Desc,progression,Perk,physical damage +140%,實體傷害 +140%,
perkDeadEyeEntityDamageRank08Desc,progression,Perk,physical damage +160%,實體傷害 +160%,
perkDeadEyeEntityDamageRank09Desc,progression,Perk,physical damage +180%,實體傷害 +180%,
perkDeadEyeEntityDamageRank10Desc,progression,Perk,physical damage +200%,實體傷害 +200%,
perkDeadEyeMagazineSizeName,progression,Perk,One Shot Death: Magazine Capacity,一發入魂: 彈匣容量,
perkDeadEyeMagazineSizeDesc,progression,Perk,Increase magazine capacity,增加彈匣容量,
perkDeadEyeMagazineSizeRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Dead Eye"" skill.",限定「神槍手」技能所使用的武器。,
perkDeadEyeMagazineSizeRank01Desc,progression,Perk,magazine capacity +20%,彈匣容量 +20%,
perkDeadEyeMagazineSizeRank02Desc,progression,Perk,magazine capacity +40%,彈匣容量 +40%,
perkDeadEyeMagazineSizeRank03Desc,progression,Perk,magazine capacity +60%,彈匣容量 +60%,
perkDeadEyeMagazineSizeRank04Desc,progression,Perk,magazine capacity +80%,彈匣容量 +80%,
perkDeadEyeMagazineSizeRank05Desc,progression,Perk,magazine capacity +100%,彈匣容量 +100%,
perkDeadEyeMagazineSizeRank06Desc,progression,Perk,magazine capacity +120%,彈匣容量 +120%,
perkDeadEyeMagazineSizeRank07Desc,progression,Perk,magazine capacity +140%,彈匣容量 +140%,
perkDeadEyeMagazineSizeRank08Desc,progression,Perk,magazine capacity +160%,彈匣容量 +160%,
perkDeadEyeMagazineSizeRank09Desc,progression,Perk,magazine capacity +180%,彈匣容量 +180%,
perkDeadEyeMagazineSizeRank10Desc,progression,Perk,magazine capacity +200%,彈匣容量 +200%,
perkDeadEyeRangeName,progression,Perk,One Shot Death: Range,一發入魂: 射程,
perkDeadEyeRangeDesc,progression,Perk,Increased maximum range and effective range,增加最大射程和有效射程,
perkDeadEyeRangeRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Dead Eye"" skill.",限定「神槍手」技能所使用的武器。,
perkDeadEyeRangeRank01Desc,progression,Perk,range +10%,射程 +10%,
perkDeadEyeRangeRank02Desc,progression,Perk,range +20%,射程 +20%,
perkDeadEyeRangeRank03Desc,progression,Perk,range +30%,射程 +30%,
perkDeadEyeRangeRank04Desc,progression,Perk,range +40%,射程 +40%,
perkDeadEyeRangeRank05Desc,progression,Perk,range +50%,射程 +50%,
perkDeadEyeRangeRank06Desc,progression,Perk,range +60%,射程 +60%,
perkDeadEyeRangeRank07Desc,progression,Perk,range +70%,射程 +70%,
perkDeadEyeRangeRank08Desc,progression,Perk,range +80%,射程 +80%,
perkDeadEyeRangeRank09Desc,progression,Perk,range +90%,射程 +90%,
perkDeadEyeRangeRank10Desc,progression,Perk,range +100%,射程 +100%,
perkDeadEyeReloadSpeedMultiplierName,progression,Perk,One Shot Death: Reload Speed,一發入魂: 裝填速度,
perkDeadEyeReloadSpeedMultiplierDesc,progression,Perk,Increase reload speed,提升裝填速度,
perkDeadEyeReloadSpeedMultiplierRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Dead Eye"" skill.",限定「神槍手」技能所使用的武器。,
perkDeadEyeReloadSpeedMultiplierRank01Desc,progression,Perk,reload +17%,裝填速度 +17%,
perkDeadEyeReloadSpeedMultiplierRank02Desc,progression,Perk,reload +34%,裝填速度 +34%,
perkDeadEyeReloadSpeedMultiplierRank03Desc,progression,Perk,reload +51%,裝填速度 +51%,
perkDeadEyeReloadSpeedMultiplierRank04Desc,progression,Perk,reload +68%,裝填速度 +68%,
perkDeadEyeReloadSpeedMultiplierRank05Desc,progression,Perk,reload +85%,裝填速度 +85%,
perkDeadEyeReloadSpeedMultiplierRank06Desc,progression,Perk,reload +102%,裝填速度 +102%,
perkDeadEyeReloadSpeedMultiplierRank07Desc,progression,Perk,reload +119%,裝填速度 +119%,
perkDeadEyeReloadSpeedMultiplierRank08Desc,progression,Perk,reload +136%,裝填速度 +136%,
perkDeadEyeReloadSpeedMultiplierRank09Desc,progression,Perk,reload +153%,裝填速度 +153%,
perkDeadEyeReloadSpeedMultiplierRank10Desc,progression,Perk,reload +170%,裝填速度 +170%,
perkDeadEyeKickDegreesName,progression,Perk,One Shot Death: Recoil,一發入魂: 後座力,
perkDeadEyeKickDegreesDesc,progression,Perk,Reduced recoil for aiming shots,降低瞄準射擊的後座力,
