Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
drinkIvRemoveFirePotion,items,Medical,,,Weird Burn Resistance Potion,,,,,,奇妙な火傷耐性ポーション,,,,,,异质燃烧抗性药水,異質燃燒抗性藥水,
drinkIvRemoveFirePotionDesc,items,Medical,,,"Resists the burning attacks of mutated fire zombies, and has a chance to remove the current state.",,,,,,変異した火のゾンビの燃える攻撃に抵抗し、現在の状態を取り除くチャンスがあります。,,,,,,服用后可抵抗突变的火焰型僵尸的燃烧攻击，并有机率性移除目前的负面状态。,服用後可抵抗突變的火焰型殭屍的燃燒攻擊，並有機率性移除目前的負面狀態。,
drinkIvRemoveShockPotion,items,Medical,,,Weird Electric Shock Resistance Potion,,,,,,奇妙な感電耐性ポーション,,,,,,异质电击抗性药水,異質電擊抗性藥水,
drinkIvRemoveShockPotionDesc,items,Medical,,,Resists the Shock attacks of the mutant Zombies and has a chance to remove the current state.,,,,,,ミュータントゾンビのショック攻撃に抵抗し、現在の状態を取り除くチャンスがあります。,,,,,,服用后可抵抗突变的电击型僵尸的电击攻击，并有机率性移除目前的负面状态。,服用後可抵抗突變的電擊型殭屍的電擊攻擊，並有機率性移除目前的負面狀態。,
drinkIvRemovePoisonPotion,items,Medical,,,Weird Poison Resistance Potion,,,,,,奇妙な毒耐性ポーション,,,,,,异质剧毒抗性药水,異質劇毒抗性藥水,
drinkIvRemovePoisonPotionDesc,items,Medical,,,"Resists the poisonous attack of mutated virulent zombies, and has a chance to remove the current state.",,,,,,変異した毒性ゾンビの毒攻撃に抵抗し、現在の状態を取り除くチャンスがあります。,,,,,,服用后可抵抗突变的剧毒型僵尸的放毒攻击，并有机率性移除目前的负面状态。,服用後可抵抗突變的劇毒型殭屍的放毒攻擊，並有機率性移除目前的負面狀態。,
drinkIvRemoveFrostPotion,items,Medical,,,Weird Freeze Resistance Potion,,,,,,奇妙な耐凍性ポーション,,,,,,异质冰冻抗性药水,異質冰凍抗性藥水,
drinkIvRemoveFrostPotionDesc,items,Medical,,,"Resists the freezing attacks of mutant frozen zombies, and has a chance to remove the current state.",,,,,,ミュータントフリーズゾンビのフリーズ攻撃に抵抗し、現在の状態を取り除くチャンスがあります。,,,,,,服用后可抵抗突变的冰冻型僵尸的冰冻攻击，并有机率性移除目前的负面状态。,服用後可抵抗突變的冰凍型殭屍的冰凍攻擊，並有機率性移除目前的負面狀態。,
drinkIvRemoveDeathDeclarePotion,items,Medical,,,Weird Death Declare Resistance Potion,,,,,,奇妙な死の宣言の抵抗ポーション,,,,,,异质死亡宣告抗性药水,異質死亡宣告抗性藥水,
drinkIvRemoveDeathDeclarePotionDesc,items,Medical,,,Resists the death announcement attack of mutated Soul Eater zombies and has a chance to remove the current state.,,,,,,変異したソウルイーターゾンビの死のアナウンス攻撃に抵抗し、現在の状態を削除するチャンスがあります。,,,,,,服用后可抵抗突变的蚀魂型僵尸的死亡宣告攻击，并有机率性移除目前的负面状态。,服用後可抵抗突變的蝕魂型殭屍的死亡宣告攻擊，並有機率性移除目前的負面狀態。,
drugRemoveElementFireSchematic,items,Medical,,,Weird Burn Resistance Potion Recipe,,,,,,奇妙な火傷耐性ポーションレシピ,,,,,,异质燃烧抗性药水配方,異質燃燒抗性藥水配方,
drugRemoveElementFireSchematicDesc,items,Medical,,,Learn how to make this item.,,,,,,このアイテムの作り方を学びましょう。,,,,,,使用后，习得此道具的制作方法。,使用後，習得此道具的製作方法。,
drugRemoveElementShockSchematic,items,Medical,,,Weird Electric Shock Resistance Potion Recipe,,,,,,奇妙な感電耐性ポーションレシピ,,,,,,异质电击抗性药水配方,異質電擊抗性藥水配方,
drugRemoveElementShockSchematicDesc,items,Medical,,,Learn how to make this item.,,,,,,このアイテムの作り方を学びましょう。,,,,,,使用后，习得此道具的制作方法。,使用後，習得此道具的製作方法。,
drugRemoveElementPoisonSchematic,items,Medical,,,Weird Poison Resistance Potion Recipe,,,,,,奇妙な毒耐性ポーションレシピ,,,,,,异质剧毒抗性药水配方,異質劇毒抗性藥水配方,
