Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
thrownLightingball_white,items,Item,,,Lighting ball (white light),,,,,,フレア（白）,,,,,,照明弹(白光),照明彈(白光),
thrownLightingball_whiteDesc,items,Item,,,"After throwing it out, it illuminates the surroundings. It can be recycled. It will disappear automatically when time is up.",,,,,,捨てた後、周囲を照らします。 リサイクルできます。 時間切れになると自動的に消えます。,,,,,,丢出去后，照亮四周，可回收，时间到会自动消失。,丟出去後，照亮四周，可回收，時間到會自動消失。,
thrownLightingball_yellow,items,Item,,,Lighting ball (yellow light),,,,,,フレア（黄色）,,,,,,照明弹(黄光),照明彈(黃光),
thrownLightingball_blue,items,Item,,,Lighting ball (blue light),,,,,,フレア（青）,,,,,,照明弹(蓝光),照明彈(藍光),
thrownLightingball_green,items,Item,,,Lighting ball (green light),,,,,,フレア（緑）,,,,,,照明弹(绿光),照明彈(綠光),
thrownLightingball_red,items,Item,,,Lighting ball (red light),,,,,,フレア（赤）,,,,,,照明弹(红光),照明彈(紅光),
thrownLightingball_white_sticky,items,Item,,,"Lighting ball (white light, sticky)",,,,,,フレア（白、粘着性）,,,,,,"照明弹(白光,有黏性)","照明彈(白光,有黏性)",
thrownLightingball_white_stickyDesc,items,Item,,,"After throwing it out, it sticks directly without rolling, illuminates the surroundings, and will disappear automatically when time is up.",,,,,,捨てた後は転がらずに直接くっつき、周囲を照らし、時間切れになると自動的に消えます。,,,,,,丢出去后，直接黏住不滚动，照亮四周，时间到会自动消失。,丟出去後，直接黏住不滾動，照亮四周，時間到會自動消失。,
thrownLightingball_yellow_sticky,items,Item,,,"Lighting ball (yellow light, sticky)",,,,,,フレア（黄色、粘着性）,,,,,,"照明弹(黄光,有黏性)","照明彈(黃光,有黏性)",
thrownLightingball_blue_sticky,items,Item,,,"Lighting ball (blue light, sticky)",,,,,,フレア（青、粘着性）,,,,,,"照明弹(蓝光,有黏性)","照明彈(藍光,有黏性)",
thrownLightingball_green_sticky,items,Item,,,"Lighting ball (green light, sticky)",,,,,,フレア（緑、粘着性）,,,,,,"照明弹(绿光,有黏性)","照明彈(綠光,有黏性)",
thrownLightingball_red_sticky,items,Item,,,"Lighting ball (red light, sticky)",,,,,,フレア（赤、粘着性）,,,,,,"照明弹(红光,有黏性)","照明彈(紅光,有黏性)",
