Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
ivSciFiBuildingWallCenter,blocks,Block,,,City Wall (link),,,,,,ウォール（リンク）,,,,,,城墙（连结）,城牆（連結）,
ivSciFiBuildingWallCenterDesc,blocks,Block,,,Used for the connection between two walls.,,,,,,2つの壁の間の接続に使用されます。,,,,,,用于两道城墙之间的连结。,用於兩道城牆之間的連結。,
ivSciFiBuildingWallCenterSingle,blocks,Block,,,"City Wall (link,small)",,,,,,城壁（リンク、小）,,,,,,城墙（连结，小）,城牆（連結，小）,
ivSciFiBuildingWallCenterSingleDesc,blocks,Block,,,Used for the connection between two walls.,,,,,,2つの壁の間の接続に使用されます。,,,,,,用于两道城墙之间的连结。,用於兩道城牆之間的連結。,
ivSciFiBuildingWallCorner01,blocks,Block,,,City Wall Corner (small),,,,,,ウォールウォールコーナー（小）,,,,,,城墙转角（小）,城牆轉角（小）,
ivSciFiBuildingWallCorner01Desc,blocks,Block,,,Used at the corner of the city wall.,,,,,,城壁の角で使用されます。,,,,,,用于城墙转角处。,用於城牆轉角處。,
ivSciFiBuildingWallCorner02,blocks,Block,,,City Wall Corner (large),,,,,,ウォールウォールコーナー（大きい）,,,,,,城墙转角（大）,城牆轉角（大）,
ivSciFiBuildingWallCorner02Desc,blocks,Block,,,Used at the corner of the city wall.,,,,,,城壁の角で使用されます。,,,,,,用于城墙转角处。,用於城牆轉角處。,
ivSciFiBuildingWallAutoDoor5x4Left,blocks,Block,,,City gate connection side (left),,,,,,シティゲート接続側（左）,,,,,,城大门连结侧（左）,城大門連結側（左）,
ivSciFiBuildingWallAutoDoor5x4LeftDesc,blocks,Block,,,"It is used on the left and right sides of the gate of the city wall, and can also be used as a connection to other small gates in the city wall.",,,,,,城壁の門の左側と右側で使用されており、城壁の他の小さな門への接続としても使用できます。,,,,,,用于城墙大门左右两侧，也可做为城墙连结其他小门使用。,用於城牆大門左右兩側，也可做為城牆連結其他小門使用。,
ivSciFiBuildingWallAutoDoor5x4Right,blocks,Block,,,City gate connection side (right),,,,,,シティゲート接続側（右）,,,,,,城大门连结侧（右）,城大門連結側（右）,
ivSciFiBuildingWallAutoDoor5x4RightDesc,blocks,Block,,,"It is used on the left and right sides of the gate of the city wall, and can also be used as a connection to other small gates in the city wall.",,,,,,城壁の門の左側と右側で使用されており、城壁の他の小さな門への接続としても使用できます。,,,,,,用于城墙大门左右两侧，也可做为城墙连结其他小门使用。,用於城牆大門左右兩側，也可做為城牆連結其他小門使用。,
ivSciFiBuildingWallArrowSlit,blocks,Block,,,City Wall (arrow slit),,,,,,城壁（矢印のスリット）,,,,,,城墙（箭缝）,城牆（箭縫）,
ivSciFiBuildingWallArrowSlitDesc,blocks,Block,,,"Used to link between two walls, and can attack targets from arrow slits.",,,,,,2つの壁の間をリンクするために使用され、矢印のスリットからターゲットを攻撃できます。,,,,,,用于两道城墙之间的连结，并可从箭缝攻击目标。,用於兩道城牆之間的連結，並可從箭縫攻擊目標。,
ivSciFiBuildingFloor5x5s01,blocks,Block,,,Large Floor 01,,,,,,大きな床01,,,,,,大型地板01,大型地板01,
ivSciFiBuildingFloor5x5s01Desc,blocks,Block,,,"Only for tiled use, high durability and high anti-explosion.",,,,,,タイル張りの使用、高い耐久性、高い抗拡張のみ。,,,,,,只限平铺使用，高耐久，高抗爆。,只限平舖使用，高耐久，高抗爆。,
ivSciFiBuildingFloor5x5s02,blocks,Block,,,Large Floor 02,,,,,,大きな床02,,,,,,大型地板02,大型地板02,
ivSciFiBuildingFloor5x5s02Desc,blocks,Block,,,"Only for tiled use, high durability and high anti-explosion.",,,,,,タイル張りの使用、高い耐久性、高い抗拡張のみ。,,,,,,只限平铺使用，高耐久，高抗爆。,只限平舖使用，高耐久，高抗爆。,
ivSciFiBuildingFloor5x5s03,blocks,Block,,,Large Floor 03,,,,,,大きな床03,,,,,,大型地板03,大型地板03,
ivSciFiBuildingFloor5x5s03Desc,blocks,Block,,,"Only for tiled use, high durability and high anti-explosion.",,,,,,タイル張りの使用、高い耐久性、高い抗拡張のみ。,,,,,,只限平铺使用，高耐久，高抗爆。,只限平舖使用，高耐久，高抗爆。,
ivSciFiBuildingFloor5x5s04,blocks,Block,,,Large Floor 04,,,,,,大きな床04,,,,,,大型地板04,大型地板04,
ivSciFiBuildingFloor5x5s04Desc,blocks,Block,,,"Only for tiled use, high durability and high anti-explosion.",,,,,,タイル張りの使用、高い耐久性、高い抗拡張のみ。,,,,,,只限平铺使用，高耐久，高抗爆。,只限平舖使用，高耐久，高抗爆。,
ivSciFiBuildingFloor5x5s05,blocks,Block,,,Large Floor 05,,,,,,大きな床05,,,,,,大型地板05,大型地板05,
ivSciFiBuildingFloor5x5s05Desc,blocks,Block,,,"Only for tiled use, high durability and high anti-explosion.",,,,,,タイル張りの使用、高い耐久性、高い抗拡張のみ。,,,,,,只限平铺使用，高耐久，高抗爆。,只限平舖使用，高耐久，高抗爆。,
ivSciFiBuildingFloor5x5s06,blocks,Block,,,Large Floor 06,,,,,,大きな床06,,,,,,大型地板06,大型地板06,
ivSciFiBuildingFloor5x5s06Desc,blocks,Block,,,"Only for tiled use, high durability and high anti-explosion.",,,,,,タイル張りの使用、高い耐久性、高い抗拡張のみ。,,,,,,只限平铺使用，高耐久，高抗爆。,只限平舖使用，高耐久，高抗爆。,
ivSciFiBuildingFloor5x1s01,blocks,Block,,,Large Floor 01 (long strip),,,,,,大きな床01（ロングストリップ）,,,,,,大型地板01（长条）,大型地板01（長條）,
ivSciFiBuildingFloor5x1s01Desc,blocks,Block,,,"Only for tiled use, high durability and high anti-explosion.",,,,,,タイル張りの使用、高い耐久性、高い抗拡張のみ。,,,,,,只限平铺使用，高耐久，高抗爆。,只限平舖使用，高耐久，高抗爆。,
ivSciFiBuildingFloor5x1s02,blocks,Block,,,Large Floor 02 (long strip),,,,,,大きな床02（ロングストリップ）,,,,,,大型地板02（长条）,大型地板02（長條）,
