Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
amaster,progression,Attribute,,,The way of the master,,,,,,マスターの道,,,,,,大师之路,大師之路,
aMaster,progression,Attribute,,,The way of the master,,,,,,マスターの道,,,,,,大师之路,大師之路,
aMasterName,progression,Attribute,,,Master,,,,,,熟練している,,,,,,精通,精通,
aMasterDesc,progression,Attribute,,,Strengthen your desired skills with limited points.,,,,,,限られたポイントであなたの望むスキルを強化してください。,,,,,,利用有限点数强化你想要的技能。,利用有限點數強化你想要的技能。,
aMasterRankDesc,progression,Attribute,,,The road to the master,,,,,,マスターへの道,,,,,,迈向大师之路,邁向大師之路,
aMasterRankLongDesc,progression,Attribute,,,"When you have finished learning a skill to the top, it will show the items you can start learning about.",,,,,,一番上までスキルを習得し終えると、習得できる項目が表示されます。,,,,,,当你学完某一项技能至顶后， 会显示可以开始进行学习的项目。,當你學完某一項技能至頂後， 會顯示可以開始進行學習的項目。,
skillMasterGunsName,progression,Skill,,,Shooting and Throwing,,,,,,投擲と射撃,,,,,,投射,投射,
skillMasterGunsDesc,progression,Skill,,,"For example: sniper rifles, shotguns, machine guns, explosives, etc.",,,,,,例：狙撃ライフル、ショットガン、機関銃、爆発物など。,,,,,,例如:狙击枪、散弹枪、机枪、炸药等等,例如:狙擊槍、散彈槍、機槍、炸藥等等,
skillMasterMeleeName,progression,Skill,,,Melee,,,,,,近接攻撃,,,,,,近战,近戰,
skillMasterMeleeDesc,progression,Skill,,,"For example: sticks, mallets, knives, gloves, etc.",,,,,,例：スティック、マレット、ナイフ、手袋など。,,,,,,例如:棒子、槌子、刀、拳套等等,例如:棒子、槌子、刀、拳套等等,
skillMasterAuxiliaryName,progression,Skill,,,Auxiliary,,,,,,補助,,,,,,辅助,輔助,
skillMasterAuxiliaryDesc,progression,Skill,,,"For example: stamina consumption, item durability consumption, etc.",,,,,,例：スタミナ消費、アイテム耐久性消費など。,,,,,,例如:耐力消耗、道具耐久消耗等等,例如:耐力消耗、道具耐久消耗等等,

perkDeadEyeEntityDamageName,progression,Perk,,,One Shot Death: Physical Damage,,,,,,ワンショットデス：物理的ダメージ,,,,,,一发入魂: 实体伤害,一發入魂: 實體傷害,
perkDeadEyeEntityDamageDesc,progression,Perk,,,Increase physical damage,,,,,,物理的なダメージを増やします。,,,,,,增加实体伤害,增加實體傷害,
perkDeadEyeEntityDamageRankLongDesc,progression,Perk,,,"Limited to the weapons used by the ""Dead Eye"" skill.",,,,,,「射撃の名手」スキルで使用される武器に限定されます。,,,,,,限定「死神之眼」技能所使用的武器。,限定「死亡之眼」技能所使用的武器。,
perkDeadEyeEntityDamageRank01Desc,progression,Perk,,,physical damage +20%,,,,,,物理的ダメージ+20％,,,,,,实体伤害 +20%,實體傷害 +20%,
perkDeadEyeEntityDamageRank02Desc,progression,Perk,,,physical damage +40%,,,,,,物理的ダメージ+40％,,,,,,实体伤害 +40%,實體傷害 +40%,
perkDeadEyeEntityDamageRank03Desc,progression,Perk,,,physical damage +60%,,,,,,物理的ダメージ+60％,,,,,,实体伤害 +60%,實體傷害 +60%,
perkDeadEyeEntityDamageRank04Desc,progression,Perk,,,physical damage +80%,,,,,,物理的ダメージ+80％,,,,,,实体伤害 +80%,實體傷害 +80%,
