Key,File,Type,english,tchinese
ivResourceBrokenSoul,items,Item,Broken Soul,殘破魂魄
ivResourceBrokenSoulDesc,items,Item,The soul left behind after death.,生物死亡後所遺留下來的魂魄。
ivSoulEssenceFire,items,Tools,Soul Essence : Fire,魂魄精華 : 燃燒
ivSoulEssenceFireDesc,items,Tools,"The deep consciousness that reads the essence seems to be able to learn the true meaning of ""fire"".",讀取精華的深層意識似乎可以學習到「燃燒」的真正意義。
ivSoulEssenceIce,items,Tools,Soul Essence : Frozen,魂魄精華 : 冰凍
ivSoulEssenceIceDesc,items,Tools,"The deep consciousness that reads the essence seems to be able to learn the true meaning of ""water"".",讀取精華的深層意識似乎可以學習到「冰凍」的真正意義。
ivSoulEssencePoison,items,Tools,Soul Essence : Poison,魂魄精華 : 毒素
ivSoulEssencePoisonDesc,items,Tools,"The deep consciousness that reads the essence seems to be able to learn the true meaning of ""poison"".",讀取精華的深層意識似乎可以學習到「毒素」的真正意義。
ivSoulEssenceElectricShock,items,Tools,Soul Essence : Electric Shock,魂魄精華 : 感電
ivSoulEssenceElectricShockDesc,items,Tools,"The deep consciousness that reads the essence seems to be able to learn the true meaning of ""electric"".",讀取精華的深層意識似乎可以學習到「感電」的真正意義。
ivSoulEssenceFlammables,items,Tools,Soul Essence : Flammables,魂魄精華 : 易燃物
ivSoulEssenceFlammablesDesc,items,Tools,"The deep consciousness that reads the essence seems to be able to learn the true meaning of ""flammables"".",讀取精華的深層意識似乎可以學習到「易燃物」的真正意義。
ivSoulEssenceCrystals,items,Tools,Soul Essence : Crystals,魂魄精華 : 結晶體
ivSoulEssenceCrystalsDesc,items,Tools,"The deep consciousness that reads the essence seems to be able to learn the true meaning of ""crystals"".",讀取精華的深層意識似乎可以學習到「結晶體」的真正意義。
ivSoulEssenceInfectiousDisease,items,Tools,Soul Essence : Infectious Disease,魂魄精華 : 傳染病
ivSoulEssenceInfectiousDiseaseDesc,items,Tools,"The deep consciousness that reads the essence seems to be able to learn the true meaning of ""infectious disease"".",讀取精華的深層意識似乎可以學習到「傳染病」的真正意義。
