Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
meleeIvDemonKatana,items,Melee,,,Demon Katana,,,,,,妖刀,,,,,,妖刀,妖刀,
meleeIvDemonKatanaDesc,items,Melee,,,"A weapon suitable for hunting zombies, with exclusive spells to enhance the ability to hunt.",,,,,,ゾンビを狩るのに適した武器で、狩りの能力を高めるための専用の呪文が付いています。,,,,,,适合用来猎杀僵尸的武器，搭配专属的法术可以加强猎杀的能力。,適合用來獵殺殭屍的武器，搭配專屬的法術可以加強獵殺的能力。,

modDemonKatanaSpellScrollFire,item_modifiers,mod,,,Burn,,,,,,燃焼,,,,,,燃烧,燃燒,
modDemonKatanaSpellScrollFireDesc,item_modifiers,mod,,,"Igniting the target causes burning damage. The more the target is concentrated, the wider the burning spread.",,,,,,ターゲットに点火すると燃焼ダメージが発生します。ターゲットが集中するほど、燃焼の広がりが広がります。,,,,,,点燃目标造成燃烧伤害，目标越聚集时，燃烧扩散越广。,點燃目標造成燃燒傷害，目標越聚集時，燃燒擴散越廣。,
modDemonKatanaSpellScrollFrost,item_modifiers,mod,,,Frozen,,,,,,氷凍,,,,,,冰冻,冰凍,
modDemonKatanaSpellScrollFrostDesc,item_modifiers,mod,,,Reduces the target's movement speed and attack speed.,,,,,,ターゲットの移動速度と攻撃速度を下げます。,,,,,,降低目标的移动速度与攻击速度。,降低目標的移動速度與攻擊速度。,
modDemonKatanaSpellScrollElectric,item_modifiers,mod,,,Shock,,,,,,電撃,,,,,,电击,電擊,
modDemonKatanaSpellScrollElectricDesc,item_modifiers,mod,,,Reduces the target's movement speed and continues to inflict Shock.,,,,,,ターゲットの移動速度を低下させ、ショックを与え続けます。,,,,,,降低目标的移动速度，并持续造成感电状态。,降低目標的移動速度，並持續造成感電狀態。,
modDemonKatanaSpellScrollPoison,item_modifiers,mod,,,Highly Toxic,,,,,,劇毒,,,,,,剧毒,劇毒,
modDemonKatanaSpellScrollPoisonDesc,item_modifiers,mod,,,Spreads poison to poison the target and reduce running speed.,,,,,,毒を拡散してターゲットを毒し、走行速度を低下させます。,,,,,,散播毒素使目标中毒，并降低跑步速度。,散播毒素使目標中毒，並降低跑步速度。,
modDemonKatanaSpellScrollWind,item_modifiers,mod,,,Wind Cut,,,,,,風切,,,,,,风切,風切,
modDemonKatanaSpellScrollWindDesc,item_modifiers,mod,,,Use strong airflow to knock the target down.,,,,,,強力な気流を使用してターゲットをノックダウンします。,,,,,,运用强力的气流使目标跌倒。,運用強力的氣流使目標跌倒。,
modDemonKatanaSpellScrollEidolon,item_modifiers,mod,,,Eidolon,,,,,,夜霊,,,,,,夜灵,夜靈,
modDemonKatanaSpellScrollEidolonDesc,item_modifiers,mod,,,"By opening the third eye with the power of Eidolon, you can see the target clearly at night.",,,,,,暗視機能を開始すると、夜間にターゲットがはっきりと見えます。,,,,,,借由夜灵的法力开启第三只眼，在夜晚也能够看得清楚目标。,借由夜靈的法力開啟第三隻眼，在夜晚也能夠看得清楚目標。,
modDemonKatanaSpellScrollStarlight,item_modifiers,mod,,,Starlight,,,,,,星光,,,,,,星光,星光,
modDemonKatanaSpellScrollStarlightDesc,item_modifiers,mod,,,"When equipped, it illuminates the surrounding area, always stays bright, and provides heat and cold resistance.",,,,,,装備すると、周囲を照らし、常に明るく、耐熱性と耐寒性を提供します。,,,,,,装备后可照亮四周，时常保持光亮，并且提供冷热抗性。,裝備後可照亮四周，時常保持光亮，並且提供冷熱抗性。,
modDemonKatanaSpellScrollTyrantSwordOfDestruction,item_modifiers,mod,,,Tyrant's Sword Of Destruction,,,,,,暴君の破壊の剣,,,,,,暴君的毁灭之剑,暴君的毀滅之劍,
